name,budget,location,rating,Specialities
All India Institute of Medical Sciences,1500, New Delhi,4.9,"Nephrology, Pediatrics, Urology"
Apollo Hospitals,2000, Chennai,4.8,"Endocrinology, Gastroenterology"
Fortis Healthcare,1800, Mumbai,4.7,"Pediatrics, Nephrology"
Max Super Speciality Hospital,1700, New Delhi,4.6,"Urology, Gastroenterology, Oncology"
Medanta The Medicity,1900, Gurugram,4.8,"Pediatrics, Neurology"
Narayana Health,1600, Bengaluru,4.5,"Cardiology, Urology"
Manipal Hospitals,1500, Bengaluru,4.4,"Nephrology, Orthopedics, Endocrinology"
BLK Super Speciality Hospital,1700, New Delhi,4.6,"Cardiology, Nephrology, Urology"
Kokilaben Dhirubhai Ambani Hospital,2000, Mumbai,4.7,"Urology, Pediatrics, Orthopedics"
Sir H. N. Reliance Foundation Hospital,2100, Mumbai,4.8,"Oncology, Pulmonology, Gastroenterology"
Amrita Hospital,1600, Faridabad,4.5,"Nephrology, Endocrinology, Cardiology"
Amrita Hospital,1500, Kochi,4.4,"Orthopedics, Endocrinology, Nephrology"
Zydus Hospitals,1400, Ahmedabad,4.3,"Pulmonology, Nephrology"
SevenHills Hospital,1300, Mumbai,4.2,"Endocrinology, Urology"
Metro Hospitals & Heart Institute,1200, Noida,4.1,"Urology, Oncology"
KIMS Health,1100, Thiruvananthapuram,4,"Orthopedics, Pulmonology, Nephrology"
MIOT International,1700, Chennai,4.6,"Pulmonology, Pediatrics, Neurology"
Jaslok Hospital & Research Centre,1800, Mumbai,4.5,"Orthopedics, Oncology, Endocrinology"
Dr. L H Hiranandani Hospital,1600, Mumbai,4.4,"Orthopedics, Neurology, Gastroenterology"
King Edward Memorial Hospital,1500, Mumbai,4.3,"Oncology, Urology"
Dr. Prabhakar Kore Hospital,1400, Belgaum,4.2,"Urology, Nephrology, Cardiology"
Indraprastha Apollo Hospital,1900, New Delhi,4.7,"Urology, Orthopedics, Oncology"
Gleneagles Global Hospitals,1800, Chennai,4.6,"Neurology, Nephrology, Pulmonology"
Ruby Hall Clinic,1500, Pune,4.4,"Neurology, Pulmonology, Endocrinology"
Sancheti Institute for Orthopaedics and Rehabilitation,1300, Pune,4.3,"Pediatrics, Orthopedics"
Christian Medical College,1500, Vellore,4.9,"Oncology, Cardiology"
Tata Memorial Hospital,2000, Mumbai,4.8,"Cardiology, Endocrinology, Urology"
Postgraduate Institute of Medical Education and Research,1800, Chandigarh,4.7,"Pediatrics, Cardiology, Nephrology"
Sir Ganga Ram Hospital,1700, New Delhi,4.6,"Pulmonology, Gastroenterology"
Sankara Nethralaya,1600, Chennai,4.5,"Pulmonology, Neurology"
Artemis Hospital,1500, Gurgaon,4.4,"Nephrology, Oncology"
Wockhardt Hospital,1400, Mumbai,4.3,"Orthopedics, Oncology, Nephrology"
Fortis Hospital,1300, Kolkata,4.2,"Neurology, Orthopedics"
MaxCure Hospital,1200, Hyderabad,4.1,"Pediatrics, Endocrinology, Cardiology"
Columbia Asia Referral Hospital,1500, Yeshwanthpur,4.6,"Nephrology, Endocrinology"
Nanavati Super Specialty Hospital,1600, Mumbai,4.7,"Oncology, Pulmonology, Endocrinology"
Max Super Specialty Hospital,1800, Saket,4.9,"Pediatrics, Pulmonology, Nephrology"
Fortis Memorial Research Institute,1900, Gurugram,4.8,"Oncology, Nephrology, Pediatrics"
Kokilaben Dhirubhai Ambani Hospital,2100, Mumbai,4.8,"Orthopedics, Gastroenterology"
Lilavati Hospital and Research Centre,2200, Mumbai,4.7,"Urology, Pediatrics"
Maharaja Yeshwantrao Hospital,1300, Indore,4.2,"Urology, Gastroenterology, Endocrinology"
Amrita Hospital,1400, Kochi,4.5,"Nephrology, Cardiology"
Dharamshila Narayana Superspeciality Hospital,1600, Delhi NCR,4.7,"Cardiology, Nephrology"
Aster CMI Hospital,1800, Bangalore,4.6,"Nephrology, Pulmonology"
Sri Ramachandra Medical Centre,1700, Chennai,4.5,"Cardiology, Pulmonology, Urology"
Dr. Rela Institute & Medical Centre,1900, Chennai,4.7,"Oncology, Gastroenterology, Pulmonology"
Yashoda Hospitals,1600, Hyderabad,4.4,"Neurology, Nephrology"
Continental Hospitals,1700, Hyderabad,4.5,"Pulmonology, Cardiology, Neurology"
Care Hospitals,1500, Hyderabad,4.3,"Neurology, Pediatrics, Cardiology"
KIMS Hospitals,1600, Hyderabad,4.4,"Urology, Nephrology"
Sunshine Hospitals,1400, Hyderabad,4.2,"Urology, Oncology, Nephrology"
Global Hospitals,1800, Mumbai,4.6,"Neurology, Nephrology"
Saifee Hospital,1500, Mumbai,4.3,"Endocrinology, Orthopedics, Pulmonology"
Breach Candy Hospital Trust,2000, Mumbai,4.7,"Cardiology, Gastroenterology, Neurology"
Jupiter Hospital,1600, Thane,4.4,"Neurology, Cardiology"
Dr. L H Hiranandani Hospital,1700, Mumbai,4.5,"Gastroenterology, Pediatrics, Orthopedics"
HCG Cancer Centre,1800, Bangalore,4.6,"Gastroenterology, Pediatrics"
Rajarajeswari Medical College and Hospital,1400, Bangalore,4.2,"Urology, Nephrology, Cardiology"
Vydehi Institute of Medical Sciences and Research Centre,1500, Bangalore,4.3,"Nephrology, Urology, Oncology"
People Tree Hospitals,1300, Bangalore,4.1,"Cardiology, Pediatrics, Oncology"
Columbia Asia Hospital,1600, Pune,4.4,"Cardiology, Gastroenterology"
Jehangir Hospital,1500, Pune,4.3,"Pediatrics, Oncology, Orthopedics"
Sahyadri Hospitals,1400, Pune,4.2,"Nephrology, Neurology"
Ruby Hall Clinic,1700, Pune,4.5,"Endocrinology, Oncology"
Manipal Hospitals,1500, Jaipur,4.3,"Orthopedics, Urology"
Eternal Hospital,1600, Jaipur,4.4,"Orthopedics, Endocrinology, Neurology"
CK Birla Hospitals,1400, Jaipur,4.2,"Urology, Oncology"
Shalby Hospitals,1500, Ahmedabad,4.3,"Oncology, Neurology, Cardiology"
Marengo CIMS Hospital,1700, Ahmedabad,4.5,"Endocrinology, Gastroenterology"
Amrita Hospital,1500, Kochi,4.6,"Pediatrics, Pulmonology"
Apollo Hospitals,2000, Greams Road,4.8,"Cardiology, Pediatrics, Pulmonology"
Fortis Hospital,1700, Bannerghatta Road,4.5,"Endocrinology, Urology, Nephrology"
Aster CMI Hospital,1800,Bangalore,4.6,"Nephrology, Pediatrics, Urology"
Sri Ramachandra Medical Centre,1700,Chennai,4.5,"Endocrinology, Gastroenterology"
Dr. Rela Institute & Medical Centre,1900,Chennai,4.7,"Pediatrics, Nephrology"
Yashoda Hospitals,1600,Hyderabad,4.4,"Urology, Gastroenterology, Oncology"
Continental Hospitals,1700,Hyderabad,4.5,"Pediatrics, Neurology"
Care Hospitals,1500,Hyderabad,4.3,"Cardiology, Urology"
KIMS Hospitals,1600,Hyderabad,4.4,"Nephrology, Orthopedics, Endocrinology"
Sunshine Hospitals,1400,Hyderabad,4.2,"Cardiology, Nephrology, Urology"
Global Hospitals,1800,Mumbai,4.6,"Urology, Pediatrics, Orthopedics"
Sterling Hospitals,1700,Ahmedabad,4.5,"Oncology, Pulmonology, Gastroenterology"
Sal Hospital,1500,Ahmedabad,4.3,"Nephrology, Endocrinology, Cardiology"
Shalby Hospitals,1600,Ahmedabad,4.4,"Orthopedics, Endocrinology, Nephrology"
Apollo Hospitals,1800,Ahmedabad,4.5,"Pulmonology, Nephrology"
CIMS Hospital,1700,Ahmedabad,4.6,"Endocrinology, Urology"
Zydus Hospitals,1600,Ahmedabad,4.4,"Urology, Oncology"
Sancheti Hospital,1400,Pune,4.2,"Orthopedics, Pulmonology, Nephrology"
Jehangir Hospital,1500,Pune,4.3,"Pulmonology, Pediatrics, Neurology"
Ruby Hall Clinic,1600,Pune,4.4,"Orthopedics, Oncology, Endocrinology"
Deenanath Mangeshkar Hospital,1700,Pune,4.5,"Orthopedics, Neurology, Gastroenterology"
Noble Hospital,1500,Pune,4.3,"Oncology, Urology"
Columbia Asia Hospital,1800,Pune,4.6,"Urology, Nephrology, Cardiology"
Fortis Hospital,1700,Pune,4.5,"Urology, Orthopedics, Oncology"
Manipal Hospitals,1600,Pune,4.4,"Neurology, Nephrology, Pulmonology"
KEM Hospital,1400,Pune,4.2,"Neurology, Pulmonology, Endocrinology"
Sahyadri Hospitals,1500,Pune,4.3,"Pediatrics, Orthopedics"
Aditya Birla Memorial Hospital,1600,Pune,4.4,"Oncology, Cardiology"
Breach Candy Hospital,1800,Mumbai,4.6,"Cardiology, Endocrinology, Urology"
Jaslok Hospital,1700,Mumbai,4.5,"Pediatrics, Cardiology, Nephrology"
Lilavati Hospital,1600,Mumbai,4.4,"Pulmonology, Gastroenterology"
Hinduja Hospital,1500,Mumbai,4.3,"Pulmonology, Neurology"
Nanavati Hospital,1400,Mumbai,4.2,"Nephrology, Oncology"
Saifee Hospital,1500,Mumbai,4.3,"Orthopedics, Oncology, Nephrology"
Wockhardt Hospital,1600,Mumbai,4.4,"Neurology, Orthopedics"
Fortis Hospital,1700,Mumbai,4.5,"Orthopedics, Urology"
Global Hospitals,1800,Mumbai,4.6,"Orthopedics, Endocrinology, Neurology"
SevenHills Hospital,1500,Mumbai,4.3,"Urology, Oncology"
Apollo Hospitals,1800,Chennai,4.6,"Oncology, Neurology, Cardiology"
MIOT International,1700,Chennai,4.5,"Endocrinology, Gastroenterology"
Fortis Malar Hospital,1600,Chennai,4.4,"Pediatrics, Pulmonology"
Billroth Hospitals,1500,Chennai,4.3,"Cardiology, Pediatrics, Pulmonology"
SIMS Hospital,1400,Chennai,4.2,"Endocrinology, Urology, Nephrology"
Kauvery Hospital,1500,Chennai,4.3,"Nephrology, Pediatrics, Urology"
Sri Ramachandra Medical Centre,1600,Chennai,4.4,"Endocrinology, Gastroenterology"
Apollo Hospitals,1700,Chennai,4.5,"Pediatrics, Nephrology"
Global Hospitals,1800,Chennai,4.6,"Urology, Gastroenterology, Oncology"
Yashoda Hospitals,1600,Hyderabad,4.4,"Pediatrics, Neurology"
Continental Hospitals,1700,Hyderabad,4.5,"Cardiology, Urology"
Care Hospitals,1500,Hyderabad,4.3,"Nephrology, Orthopedics, Endocrinology"
KIMS Hospitals,1600,Hyderabad,4.4,"Cardiology, Nephrology, Urology"
Sunshine Hospitals,1400,Hyderabad,4.2,"Urology, Pediatrics, Orthopedics"
